成分名称,功效分类,适用肤质,注意事项,简要说明
烟酰胺,美白|抗氧化的,所有肤质,初期可能轻微刺痛,抑制黑色素转移的美白成分
透明质酸,保湿的,所有肤质,注意分子量大小,明星保湿成分深层补水
玻尿酸,保湿的,所有肤质,需配合封闭性成分,吸水量可达自身1000倍
377,美白的,非敏感肌,需避光保存,强效美白成分抑制酪氨酸酶
维生素C,美白|抗氧化的,非敏感肌,需避光保存,抗氧化抑制黑色素生成
甘油,保湿的,所有肤质,浓度过高可能粘腻,经典保湿剂吸湿补水
丁二醇,保湿的,所有肤质,无明显注意事项,常用保湿溶剂提升肤感
丙二醇,保湿的,所有肤质,敏感肌慎用,保湿溶剂帮助成分渗透
泛醇,修复|保湿的,所有肤质,无明显注意事项,维生素B5前体修复屏障
神经酰胺,修复的,敏感肌,注意与其他成分搭配,修复屏障关键成分
角鲨烷,保湿|修复的,所有肤质,可能致痘,接近人体皮脂的保湿成分
生育酚,抗氧化的,所有肤质,无明显注意事项,维生素E抗氧化成分
视黄醇,抗衰老的,非敏感肌,孕妇禁用,抗衰老明星成分促进胶原
维A醇,抗衰老的,非敏感肌,孕妇禁用,抗衰老明星成分促进胶原
水杨酸,去角质|祛痘的,非敏感肌,敏感肌慎用,脂溶性酸促进角质代谢
果酸,去角质|美白的,非敏感肌,需防晒,水溶性酸促进角质代谢
羟基乙酸,去角质的,非敏感肌,需防晒,分子量最小的果酸
乳酸,保湿|去角质的,所有肤质,无明显注意事项,温和果酸保湿滋养
氨基酸,清洁|保湿的,所有肤质,无明显注意事项,温和表活剂氨基酸表面活性剂
甜菜碱,保湿的,所有肤质,无明显注意事项,天然保湿因子提升肤感
尿囊素,修复|保湿的,所有肤质,无明显注意事项,舒缓修复成分促进愈合
红没药醇,修复|舒敏的,敏感肌,无明显注意事项,洋甘菊提取修复舒缓
积雪草苷,修复|抗炎的,所有肤质,无明显注意事项,促进胶原修复疤痕
EGF,修复|抗衰老的,所有肤质,需冷链保存,表皮生长因子促进修复
胜肽,抗衰老的,所有肤质,需长期使用,信号肽促进胶原合成
肉毒杆菌肽,抗皱的,所有肤质,需长期使用,类似肉毒素的抗皱成分
六胜肽,抗皱的,所有肤质,无明显注意事项,类肉毒素放松皱纹
咖啡因,消肿|抗氧化的,所有肤质,无明显注意事项,促进血液循环消水肿
茶多酚,抗氧化的,所有肤质,无明显注意事项,绿茶提取抗氧化成分
